Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
61,Oshae Brissett,SF,25,BOS,37,401,13.9,.566,.410,.520,10.1,16.7,13.6,9.2,1.7,0.4,8.2,14.4,,0.7,0.6,1.3,.157,,-1.0,0.9,-0.1,0.2,brissos01
62,Malcolm Brogdon,PG,31,POR,39,1121,17.0,.560,.401,.234,2.6,12.9,7.4,31.1,1.2,0.6,9.9,23.0,,1.9,0.6,2.5,.106,,2.6,-0.8,1.8,1.1,brogdma01
63,Armoni Brooks,PG,25,BRK,10,104,8.1,.448,.696,.043,7.0,11.8,9.3,6.7,0.5,0.9,6.0,20.6,,-0.1,0.0,-0.1,-0.025,,-2.1,-3.7,-5.8,-0.1,brookar01
64,Dillon Brooks,SF,28,HOU,48,1501,10.2,.570,.454,.213,2.6,9.2,5.9,7.6,1.4,0.4,10.1,18.3,,0.6,1.5,2.2,.069,,-2.8,0.0,-2.8,-0.3,brookdi01
65,Bruce Brown,SG-PG,27,TOT,49,1402,11.9,.561,.300,.236,3.2,14.7,8.9,12.2,1.6,1.0,10.3,16.4,,1.1,0.9,1.9,.067,,-2.1,-0.6,-2.7,-0.2,brownbr01
65,Bruce Brown,SG,27,IND,33,981,12.1,.568,.322,.261,2.9,15.1,9.0,12.3,1.7,0.6,10.5,16.6,,0.8,0.6,1.4,.068,,-1.7,-0.6,-2.3,-0.1,brownbr01
65,Bruce Brown,PG,27,TOR,16,421,11.4,.542,.246,.177,3.8,13.6,8.6,11.8,1.5,1.7,9.7,15.7,,0.2,0.3,0.5,.063,,-3.0,-0.6,-3.6,-0.2,brownbr01
66,Charlie Brown Jr.,SG,26,NYK,6,33,-2.4,.333,.667,.000,3.4,3.4,3.4,0.0,0.0,5.6,18.2,14.2,,-0.1,0.0,-0.1,-0.109,,-9.9,-3.0,-12.9,-0.1,brownch02
67,Greg Brown III,PF,22,DAL,6,40,10.4,.501,.273,.818,8.2,16.5,12.3,13.0,0.0,8.7,21.1,20.2,,0.0,0.0,0.0,-0.006,,-4.9,0.5,-4.4,0.0,browngr01
68,Jaylen Brown,SF,27,BOS,52,1738,17.7,.577,.331,.242,3.6,13.5,8.8,17.5,1.6,1.5,11.2,28.0,,1.6,2.4,4.1,.113,,0.4,0.0,0.4,1.0,brownja02
69,Kendall Brown,SG,20,IND,5,20,14.0,.579,.167,1.000,11.4,0.0,5.7,12.1,0.0,0.0,0.0,18.0,,0.1,0.0,0.1,.156,,-0.1,-2.3,-2.4,0.0,brownke03
70,Kobe Brown,PF,24,LAC,32,279,5.4,.469,.629,.032,4.2,13.3,8.9,7.5,1.1,1.0,10.0,10.9,,0.0,0.2,0.2,.035,,-4.8,0.1,-4.7,-0.2,brownko01
71,Moses Brown,C,24,POR,9,82,12.9,.395,.000,.190,23.2,41.1,31.6,3.5,1.2,3.3,14.9,13.9,,0.0,0.1,0.1,.045,,-4.9,-2.3,-7.2,-0.1,brownmo01
72,Troy Brown Jr.,SF,24,TOT,42,484,11.1,.587,.697,.169,4.0,16.1,10.3,11.6,0.9,0.4,12.1,15.7,,0.4,0.7,1.1,.105,,-0.6,0.4,-0.2,0.2,browntr01
72,Troy Brown Jr.,SF,24,MIN,37,410,11.6,.603,.712,.186,4.2,15.1,10.0,11.7,1.0,0.4,12.4,15.6,,0.4,0.6,1.0,.123,,-0.2,0.7,0.4,0.3,browntr01
72,Troy Brown Jr.,SF,24,DET,5,74,8.3,.502,.625,.083,3.0,21.8,12.1,10.7,0.6,0.0,10.8,15.9,,0.0,0.0,0.0,.005,,-3.0,-0.8,-3.8,0.0,browntr01
73,Jalen Brunson,PG,27,NYK,54,1942,22.1,.594,.319,.312,1.8,10.0,5.9,31.0,1.3,0.5,9.7,30.5,,5.7,1.8,7.5,.185,,5.3,-0.4,4.9,3.4,brunsja01
74,Thomas Bryant,C,26,MIA,25,259,15.1,.611,.052,.286,10.7,23.0,16.8,8.8,1.1,1.9,14.8,17.4,,0.3,0.4,0.7,.123,,-2.3,-0.4,-2.7,0.0,bryanth01
75,Kobe Bufkin,SG,20,ATL,6,35,6.4,.370,.643,.143,5.9,16.0,10.8,14.5,1.4,2.5,11.8,19.8,,-0.1,0.0,-0.1,-0.073,,-4.8,-1.5,-6.3,0.0,bufkiko01
76,Reggie Bullock,SF,32,HOU,23,216,8.2,.585,.780,.020,1.5,14.9,8.2,6.1,0.9,0.9,9.0,10.9,,0.1,0.2,0.3,.075,,-2.2,0.0,-2.2,0.0,bullore01
77,Alec Burks,SG,32,TOT,48,1002,13.9,.567,.600,.315,2.0,11.7,6.7,10.3,1.0,0.9,6.9,23.7,,1.1,0.3,1.5,.070,,0.6,-2.1,-1.5,0.1,burksal01
77,Alec Burks,SG,32,DET,43,901,14.9,.581,.608,.330,1.9,12.0,6.8,10.8,1.1,1.0,6.4,23.3,,1.4,0.3,1.6,.087,,1.3,-1.8,-0.5,0.3,burksal01
77,Alec Burks,SG,32,NYK,5,101,5.2,.459,.537,.204,2.2,8.9,5.5,5.8,0.0,0.0,10.6,27.9,,-0.2,0.1,-0.2,-0.073,,-5.3,-5.3,-10.6,-0.2,burksal01
78,Jared Butler,SG,23,WAS,20,152,18.1,.660,.474,.263,0.0,8.6,4.2,32.2,2.4,1.1,14.7,20.5,,0.3,0.1,0.4,.129,,1.2,0.0,1.2,0.1,butleja02
79,Jimmy Butler,PF,34,MIA,38,1281,22.7,.632,.167,.610,6.7,12.0,9.3,22.0,2.0,0.9,9.3,24.5,,4.2,1.6,5.8,.217,,4.4,0.6,5.0,2.3,butleji01
80,Jamal Cain,PF,24,MIA,16,225,11.2,.531,.377,.333,6.4,9.7,8.0,2.6,2.2,1.7,5.9,16.5,,0.1,0.3,0.4,.084,,-2.9,0.2,-2.7,0.0,cainja01
81,Kentavious Caldwell-Pope,SG,30,DEN,53,1679,10.0,.576,.484,.230,1.6,6.6,4.1,9.2,2.0,1.2,10.1,13.1,,1.2,1.7,2.9,.082,,-2.7,0.4,-2.3,-0.1,caldwke01
